,id,location name,type,area,price,over-valued,under-valued,normal
4040,2711142,Alenquer,apartments,150.0,110500,0.0,0.0,1.0
4041,2711172,Alenquer,apartments,92.0,79000,0.0,0.0,1.0
4042,2711488,Alenquer,plots,262.0,101000,1.0,0.0,0.0
4043,2711525,Alenquer,houses,494.0,150000,0.0,1.0,0.0
4044,2712000,Alenquer,houses,94.0,79000,0.0,1.0,0.0
4045,2712029,Alenquer,plots,43200.0,59000,0.0,1.0,0.0
4046,2712090,Alenquer,plots,454.0,131500,0.0,0.0,1.0
4047,2712237,Alenquer,apartments,96.0,68400,0.0,1.0,0.0
4048,2712856,Alenquer,plots,178.0,131500,1.0,0.0,0.0
4049,2712903,Alenquer,houses,350.0,128500,0.0,1.0,0.0
4050,2712904,Alenquer,apartments,96.0,66000,0.0,1.0,0.0
4051,2712998,Alenquer,apartments,84.0,58000,0.0,1.0,0.0
4052,2713000,Alenquer,plots,220.0,163000,1.0,0.0,0.0
4053,2713043,Alenquer,plots,178.0,131500,1.0,0.0,0.0
4054,2713051,Alenquer,apartments,110.0,61500,0.0,1.0,0.0
4057,2713128,Alenquer,apartments,112.0,62000,0.0,1.0,0.0
4058,2713139,Alenquer,apartments,101.0,61000,0.0,1.0,0.0
4061,2713185,Alenquer,houses,100.0,84000,0.0,1.0,0.0
4062,2713187,Alenquer,houses,122.0,84000,0.0,1.0,0.0
4063,2713197,Alenquer,apartments,101.0,65000,0.0,1.0,0.0
4064,2713204,Alenquer,apartments,91.0,95000,1.0,0.0,0.0
4065,2713239,Alenquer,plots,178.0,131500,1.0,0.0,0.0
4066,2713276,Alenquer,apartments,110.0,61500,0.0,1.0,0.0
4067,2713389,Nagüeles,houses,428.0,1295000,0.0,0.0,1.0
4068,2713492,Alenquer,plots,8640.0,59000,0.0,1.0,0.0
4069,2713495,Alenquer,plots,565.0,50000,0.0,1.0,0.0
4070,2713530,Alenquer,plots,8250.0,65000,0.0,1.0,0.0
4072,2713659,Alenquer,plots,504.0,75000,0.0,1.0,0.0
4073,2713732,Alenquer,plots,750.0,144000,0.0,1.0,0.0
4074,2713774,Alenquer,houses,104.0,52000,0.0,1.0,0.0
4075,2714071,Alenquer,plots,189.0,100000,1.0,0.0,0.0
4076,2714184,Alenquer,plots,1000.0,120000,0.0,1.0,0.0
4077,2714251,Alenquer,apartments,109.0,55000,0.0,1.0,0.0
4079,2714312,Alenquer,apartments,109.0,55000,0.0,1.0,0.0
4080,2714337,Alenquer,plots,1140.0,70000,0.0,1.0,0.0
4081,2714358,Alenquer,houses,116.0,79000,0.0,1.0,0.0
4082,2714416,Alenquer,plots,180.0,93000,1.0,0.0,0.0
4083,2714420,Alenquer,plots,180.0,93000,1.0,0.0,0.0
4084,2714424,Alenquer,plots,400.0,95000,0.0,1.0,0.0
4085,2714690,Alenquer,plots,2840.0,53000,0.0,1.0,0.0
4086,2715028,Quinta da Marinha,houses,216.0,880000,0.0,1.0,0.0
4087,2715103,Quinta da Marinha,houses,500.0,1980000,0.0,1.0,0.0
4088,2715306,Alenquer,apartments,94.0,110000,1.0,0.0,0.0
4089,2718578,Quinta da Marinha,houses,216.0,880000,0.0,1.0,0.0
4090,2720677,Nagüeles,houses,360.0,465000,0.0,1.0,0.0
4091,2720703,Nagüeles,houses,428.0,1295000,0.0,0.0,1.0
4092,2720709,Nagüeles,apartments,115.0,196000,0.0,1.0,0.0
4093,2723135,Nagüeles,apartments,115.0,196000,0.0,1.0,0.0
4094,2723186,Nagüeles,houses,428.0,1295000,0.0,0.0,1.0
4095,2723892,Nagüeles,houses,280.0,395000,0.0,1.0,0.0
4096,2725058,Quinta da Marinha,houses,197.0,1125000,0.0,0.0,1.0
4097,2725704,Nagüeles,houses,280.0,395000,0.0,1.0,0.0
4098,2726091,Nagüeles,houses,280.0,395000,0.0,1.0,0.0
4099,2728141,Nagüeles,apartments,115.0,196000,0.0,1.0,0.0
4100,2728228,Nagüeles,houses,280.0,395000,0.0,1.0,0.0
4101,2728237,Nagüeles,houses,360.0,465000,0.0,1.0,0.0
4102,2728286,Nagüeles,houses,428.0,1295000,0.0,0.0,1.0
4104,2729554,Alenquer,houses,333.0,169000,0.0,1.0,0.0
